,2020-09-01,2020-10-01,2020-11-01
Arapahoe_Colorado_UnitedStates.NYT_ConfirmedCases.data,9595.0,13718.0,0.0
Arapahoe_Colorado_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Antrim_Michigan_UnitedStates.NYT_ConfirmedCases.data,72.0,142.0,0.0
Antrim_Michigan_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Arenac_Michigan_UnitedStates.NYT_ConfirmedCases.data,71.0,91.0,0.0
Arenac_Michigan_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Armstrong_Pennsylvania_UnitedStates.NYT_ConfirmedCases.data,448.0,739.0,0.0
Armstrong_Pennsylvania_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Archuleta_Colorado_UnitedStates.NYT_ConfirmedCases.data,55.0,68.0,0.0
Archuleta_Colorado_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Armstrong_Texas_UnitedStates.NYT_ConfirmedCases.data,13.0,27.0,0.0
Armstrong_Texas_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Ascension_Louisiana_UnitedStates.NYT_ConfirmedCases.data,3784.0,4043.0,0.0
Ascension_Louisiana_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Arkansas_Arkansas_UnitedStates.NYT_ConfirmedCases.data,426.0,676.0,0.0
Arkansas_Arkansas_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Arlington_Virginia_UnitedStates.NYT_ConfirmedCases.data,3995.0,4714.0,0.0
Arlington_Virginia_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Aroostook_Maine_UnitedStates.NYT_ConfirmedCases.data,44.0,67.0,0.0
Aroostook_Maine_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Arthur_Nebraska_UnitedStates.NYT_ConfirmedCases.data,1.0,4.0,0.0
Arthur_Nebraska_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Ashe_NorthCarolina_UnitedStates.NYT_ConfirmedCases.data,269.0,457.0,0.0
Ashe_NorthCarolina_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Atascosa_Texas_UnitedStates.NYT_ConfirmedCases.data,1154.0,1292.0,0.0
Atascosa_Texas_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Atchison_Kansas_UnitedStates.NYT_ConfirmedCases.data,331.0,537.0,0.0
Atchison_Kansas_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Ashtabula_Ohio_UnitedStates.NYT_ConfirmedCases.data,664.0,856.0,0.0
Ashtabula_Ohio_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Asotin_Washington_UnitedStates.NYT_ConfirmedCases.data,122.0,278.0,0.0
Asotin_Washington_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Athens_Ohio_UnitedStates.NYT_ConfirmedCases.data,757.0,1361.0,0.0
Athens_Ohio_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Ashland_Wisconsin_UnitedStates.NYT_ConfirmedCases.data,137.0,310.0,0.0
Ashland_Wisconsin_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Atchison_Missouri_UnitedStates.NYT_ConfirmedCases.data,54.0,71.0,0.0
Atchison_Missouri_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Ashland_Ohio_UnitedStates.NYT_ConfirmedCases.data,261.0,452.0,0.0
Ashland_Ohio_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Ashley_Arkansas_UnitedStates.NYT_ConfirmedCases.data,436.0,563.0,0.0
Ashley_Arkansas_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Assumption_Louisiana_UnitedStates.NYT_ConfirmedCases.data,764.0,802.0,0.0
Assumption_Louisiana_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Auglaize_Ohio_UnitedStates.NYT_ConfirmedCases.data,634.0,1127.0,0.0
Auglaize_Ohio_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Audrain_Missouri_UnitedStates.NYT_ConfirmedCases.data,654.0,896.0,0.0
Audrain_Missouri_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Attala_Mississippi_UnitedStates.NYT_ConfirmedCases.data,672.0,819.0,0.0
Attala_Mississippi_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Atlantic_NewJersey_UnitedStates.NYT_ConfirmedCases.data,4139.0,5174.0,0.0
Atlantic_NewJersey_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Atkinson_Georgia_UnitedStates.NYT_ConfirmedCases.data,444.0,546.0,0.0
Atkinson_Georgia_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Aurora_SouthDakota_UnitedStates.NYT_ConfirmedCases.data,59.0,200.0,0.0
Aurora_SouthDakota_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Augusta_Virginia_UnitedStates.NYT_ConfirmedCases.data,512.0,664.0,0.0
Augusta_Virginia_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Audubon_Iowa_UnitedStates.NYT_ConfirmedCases.data,91.0,191.0,0.0
Audubon_Iowa_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Austin_Texas_UnitedStates.NYT_ConfirmedCases.data,499.0,517.0,0.0
Austin_Texas_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Atoka_Oklahoma_UnitedStates.NYT_ConfirmedCases.data,312.0,466.0,0.0
Atoka_Oklahoma_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Avery_NorthCarolina_UnitedStates.NYT_ConfirmedCases.data,362.0,645.0,0.0
Avery_NorthCarolina_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Baker_Oregon_UnitedStates.NYT_ConfirmedCases.data,98.0,144.0,0.0
Baker_Oregon_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Bailey_Texas_UnitedStates.NYT_ConfirmedCases.data,226.0,311.0,0.0
Bailey_Texas_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
