fips_code,February,March,April,May,June,July,August,September,October,November
55039.0,0.0,22.0,69.0,213.0,311.0,529.0,1120.0,2222.0,4461.0,7251.0
55041.0,0.0,0.0,0.0,29.0,39.0,58.0,78.0,294.0,501.0,683.0
55043.0,0.0,2.0,37.0,95.0,154.0,318.0,434.0,1059.0,2018.0,2735.0
55045.0,0.0,6.0,12.0,66.0,89.0,123.0,270.0,556.0,1030.0,1357.0
55047.0,0.0,0.0,2.0,20.0,32.0,52.0,92.0,304.0,741.0,1203.0
55049.0,0.0,3.0,7.0,16.0,31.0,62.0,121.0,194.0,560.0,955.0
55051.0,0.0,1.0,2.0,2.0,6.0,71.0,122.0,142.0,170.0,346.0
55053.0,0.0,2.0,12.0,17.0,27.0,46.0,76.0,156.0,591.0,1190.0
55055.0,0.0,11.0,45.0,106.0,236.0,544.0,902.0,1515.0,2951.0,4457.0
55057.0,0.0,3.0,17.0,23.0,36.0,119.0,199.0,411.0,693.0,1547.0
55059.0,0.0,37.0,391.0,1168.0,1503.0,2426.0,2967.0,3589.0,5378.0,8042.0
55061.0,0.0,0.0,14.0,35.0,56.0,109.0,181.0,602.0,1069.0,1444.0
55063.0,0.0,19.0,28.0,53.0,432.0,788.0,1182.0,3130.0,4550.0,6214.0
55065.0,0.0,0.0,4.0,27.0,74.0,103.0,185.0,309.0,589.0,926.0
55067.0,0.0,0.0,0.0,3.0,8.0,43.0,83.0,221.0,1065.0,1427.0
55069.0,0.0,0.0,0.0,7.0,10.0,60.0,83.0,244.0,931.0,1592.0
55071.0,0.0,0.0,11.0,36.0,94.0,287.0,518.0,1187.0,2764.0,4417.0
55073.0,0.0,3.0,18.0,50.0,168.0,547.0,778.0,1547.0,5322.0,8371.0
55075.0,0.0,1.0,8.0,33.0,56.0,280.0,610.0,1004.0,1870.0,2645.0
55077.0,0.0,2.0,3.0,4.0,13.0,69.0,91.0,304.0,537.0,1000.0
55078.0,0.0,0.0,1.0,3.0,7.0,18.0,29.0,88.0,340.0,498.0
55079.0,0.0,710.0,2940.0,7750.0,11358.0,19248.0,24079.0,29149.0,42864.0,58485.0
