fips_code,February,March,April,May,June,July,August,September,October,November
29099.0,0.0,30.0,244.0,75.0,96.0,850.0,1415.0,1572.0,959.0,2991.0
29101.0,0.0,19.0,35.0,22.0,36.0,342.0,141.0,516.0,456.0,386.0
29103.0,0.0,0.0,0.0,0.0,2.0,7.0,29.0,12.0,16.0,36.0
29105.0,0.0,0.0,0.0,4.0,21.0,163.0,105.0,375.0,584.0,278.0
29107.0,0.0,19.0,18.0,37.0,13.0,63.0,89.0,294.0,369.0,279.0
29109.0,0.0,0.0,0.0,8.0,22.0,152.0,172.0,281.0,542.0,408.0
29111.0,0.0,0.0,6.0,1.0,0.0,20.0,33.0,32.0,128.0,100.0
29113.0,0.0,7.0,63.0,39.0,-13.0,192.0,276.0,223.0,292.0,480.0
29115.0,0.0,0.0,5.0,4.0,6.0,15.0,17.0,38.0,68.0,58.0
29117.0,0.0,1.0,1.0,1.0,8.0,40.0,23.0,334.0,172.0,93.0
29119.0,0.0,2.0,2.0,16.0,478.0,427.0,63.0,130.0,74.0,126.0
29121.0,0.0,3.0,-1.0,2.0,3.0,45.0,27.0,72.0,95.0,198.0
29123.0,0.0,0.0,1.0,2.0,1.0,13.0,126.0,169.0,231.0,71.0
