fips_code,county,state,c3_data_id
6029.0,Kern,California,Kern_California_UnitedStates
6031.0,Kings,California,Kings_California_UnitedStates
6033.0,Lake,California,Lake_California_UnitedStates
6035.0,Lassen,California,Lassen_California_UnitedStates
6037.0,Los Angeles,California,LosAngeles_California_UnitedStates
6039.0,Madera,California,Madera_California_UnitedStates
6041.0,Marin,California,Marin_California_UnitedStates
6043.0,Mariposa,California,Mariposa_California_UnitedStates
6045.0,Mendocino,California,Mendocino_California_UnitedStates
6047.0,Merced,California,Merced_California_UnitedStates
6049.0,Modoc,California,Modoc_California_UnitedStates
6051.0,Mono,California,Mono_California_UnitedStates
6053.0,Monterey,California,Monterey_California_UnitedStates
6055.0,Napa,California,Napa_California_UnitedStates
6057.0,Nevada,California,Nevada_California_UnitedStates
6059.0,Orange,California,Orange_California_UnitedStates
6061.0,Placer,California,Placer_California_UnitedStates
6063.0,Plumas,California,Plumas_California_UnitedStates
6065.0,Riverside,California,Riverside_California_UnitedStates
6067.0,Sacramento,California,Sacramento_California_UnitedStates
6069.0,San Benito,California,SanBenito_California_UnitedStates
6071.0,San Bernardino,California,SanBernardino_California_UnitedStates
6073.0,San Diego,California,SanDiego_California_UnitedStates
6075.0,San Francisco,California,SanFrancisco_California_UnitedStates
6077.0,San Joaquin,California,SanJoaquin_California_UnitedStates
6079.0,San Luis Obispo,California,SanLuisObispo_California_UnitedStates
6081.0,San Mateo,California,SanMateo_California_UnitedStates
6083.0,Santa Barbara,California,SantaBarbara_California_UnitedStates
6085.0,Santa Clara,California,SantaClara_California_UnitedStates
6087.0,Santa Cruz,California,SantaCruz_California_UnitedStates
6089.0,Shasta,California,Shasta_California_UnitedStates
6091.0,Sierra,California,Sierra_California_UnitedStates
6093.0,Siskiyou,California,Siskiyou_California_UnitedStates
6095.0,Solano,California,Solano_California_UnitedStates
6097.0,Sonoma,California,Sonoma_California_UnitedStates
6099.0,Stanislaus,California,Stanislaus_California_UnitedStates
6101.0,Sutter,California,Sutter_California_UnitedStates
6103.0,Tehama,California,Tehama_California_UnitedStates
6105.0,Trinity,California,Trinity_California_UnitedStates
6107.0,Tulare,California,Tulare_California_UnitedStates
6109.0,Tuolumne,California,Tuolumne_California_UnitedStates
6111.0,Ventura,California,Ventura_California_UnitedStates
6113.0,Yolo,California,Yolo_California_UnitedStates
6115.0,Yuba,California,Yuba_California_UnitedStates
8001.0,Adams,Colorado,Adams_Colorado_UnitedStates
8003.0,Alamosa,Colorado,Alamosa_Colorado_UnitedStates
8005.0,Arapahoe,Colorado,Arapahoe_Colorado_UnitedStates
8007.0,Archuleta,Colorado,Archuleta_Colorado_UnitedStates
8009.0,Baca,Colorado,Baca_Colorado_UnitedStates
8011.0,Bent,Colorado,Bent_Colorado_UnitedStates
8013.0,Boulder,Colorado,Boulder_Colorado_UnitedStates
8014.0,Broomfield,Colorado,Broomfield_Colorado_UnitedStates
8015.0,Chaffee,Colorado,Chaffee_Colorado_UnitedStates
8017.0,Cheyenne,Colorado,Cheyenne_Colorado_UnitedStates
8019.0,Clear Creek,Colorado,ClearCreek_Colorado_UnitedStates
8021.0,Conejos,Colorado,Conejos_Colorado_UnitedStates
8023.0,Costilla,Colorado,Costilla_Colorado_UnitedStates
8025.0,Crowley,Colorado,Crowley_Colorado_UnitedStates
8027.0,Custer,Colorado,Custer_Colorado_UnitedStates
8029.0,Delta,Colorado,Delta_Colorado_UnitedStates
